nom,aliases
Volkswagen,VW
Audi,AUDI-PORSCHE
Mercedes-Benz,"MERCEDES-AMG,MERCEDES-BENZ-WEINSBERG,MERCEDES-ADRIA"
Ford,FORD-CNG-TECHNIK
Land-Rover,LAND ROVER
Micro Compact Car,"MICRO COMPACT CAR,SMART"
Rolls-Royce,ROLLS ROYCE
